1,417
2,650
3,319
4,2084
5,651
6,652
7,2061
8,2518
9,2062
10,20
11,653
12,3589
13,5017
14,654
15,3633
16,655
17,21
18,2063
19,656
20,2274
21,418
22,657
23,2085
24,2275
25,658
26,503
27,4740
28,3590
29,1944
30,4212
31,0
32,447
34,139
35,2086
36,504
37,4384
38,7691
39,22
40,419
41,3004
42,2087
43,3591
44,659
45,448
46,4131
47,23
48,2088
65585,5393
50,24
52,25
53,6506
54,6867
55,3005
57,2089
58,2090
59,7145
60,96
61,3617
62,26
63,2091
64,2092
65,3401
66,5001
68,3006
69,2481
70,547
71,4463
72,4213
73,2499
74,2064
76,2065
77,7610
78,2478
79,2066
80,5959
81,2067
82,660
83,6323
84,7685
85,2068
86,2069
87,7695
88,2952
89,2093
92,2070
93,4132
94,661
95,662
131168,3519
97,2094
98,3634
99,6452
100,2071
101,663
102,4741
103,5511
104,320
105,2095
65642,1579
107,664
108,8319
163949,8293
110,27
111,385
112,140
113,5509
32882,7395
116,4214
117,4385
118,2519
119,7174
121,4215
122,2096
123,665
32892,2457
125,666
126,548
65665,6287
130,3061
131,8320
132,4516
135,3123
98441,8192
140,2072
141,141
144,28
145,667
65682,4469
147,3007
148,8431
149,668
150,29
151,420
152,525
153,30
154,2097
155,6324
156,4133
157,669
158,386
159,2098
160,670
161,31
162,671
163,672
164,673
165,32
166,2099
167,9052
168,33
169,549
170,674
171,4217
172,675
173,142
174,4283
175,676
176,677
177,2100
178,4218
179,2101
180,678
181,2234
183,8322
184,5701
185,34
186,35
65567,5391
188,3053
189,8323
190,4136
191,4134
193,679
194,1945
195,5019
196,680
198,421
199,4961
200,5002
201,5020
202,2102
203,2520
204,2950
205,4194
206,2103
207,422
208,36
209,2104
211,7475
213,4219
214,681
215,682
216,683
217,4644
218,4220
219,5668
220,3054
222,37
223,38
224,2276
225,39
227,2521
228,2522
229,2105
230,684
231,321
232,685
233,686
234,4205
235,40
33004,1457
237,687
238,3380
239,3635
240,5003
241,6923
242,3008
243,5021
244,8324
245,8923
246,688
247,97
248,41
249,2106
250,3404
251,7694
252,689
253,42
254,2523
255,4206
256,3009
257,4517
258,3332
259,4942
260,143
261,43
262,2107
263,4221
264,7009
265,44
266,45
267,98
268,6507
269,2108
270,5022
271,5023
272,46
273,47
274,4949
275,4207
276,2109
277,322
278,6298
279,3592
280,3593
281,2110
282,449
283,2111
285,3055
287,4222
288,690
289,144
290,4223
291,4208
292,48
293,387
294,3594
295,5119
296,49
299,4224
300,50
301,6483
302,4225
303,3333
304,7606
305,4226
306,691
307,692
308,693
309,7006
98615,6188
312,3010
313,4645
314,51
315,2251
316,423
317,52
318,99
319,53
320,7692
